Time,PID,Tickets,Pass,Stride,Runtime
5417,10,32,2084,1,799
5417,11,32,2084,1,798
5417,12,32,2085,1,798
5417,13,32,2085,1,797
5417,14,32,2085,1,796
5417,15,32,3993,1,1
5417,16,32,3994,1,1
5417,17,8,3997,2,1
5417,18,2,4058,32,1
5417,19,8,3999,2,1
5417,20,8,4000,2,1
5588,1,8,4,2,2
5588,2,8,1272,2,636
5588,5,1,3327,1024,1
5588,4,8,6,2,3
5588,6,2,2112,32,25
5588,7,4,2113,4,207
5588,8,8,2110,2,413
5588,9,16,2109,1,825
5588,10,32,2110,1,825
5588,11,32,2110,1,824
5588,12,32,2110,1,823
5588,13,32,2110,1,822
5588,14,32,2110,1,821
5588,15,32,3993,1,1
5588,16,32,3994,1,1
5588,17,8,3997,2,1
5588,18,2,4058,32,1
5588,19,8,3999,2,1
5588,20,8,4000,2,1
5759,1,8,4,2,2
5759,2,8,1272,2,636
5759,5,1,3327,1024,1
5759,4,8,6,2,3
5759,6,2,2144,32,26
5759,7,4,2137,4,213
5759,8,8,2136,2,426
5759,9,16,2135,1,851
5759,10,32,2135,1,850
5759,11,32,2135,1,849
5759,12,32,2135,1,848
5759,13,32,2135,1,847
5759,14,32,2135,1,846
5759,15,32,3993,1,1
5759,16,32,3994,1,1
5759,17,8,3997,2,1
5759,18,2,4058,32,1
5759,19,8,3999,2,1
5759,20,8,4000,2,1
5923,1,8,4,2,2
5923,2,8,1272,2,636
5923,5,1,3327,1024,1
5923,4,8,6,2,3
5923,6,2,2176,32,27
5923,7,4,2161,4,219
5923,8,8,2160,2,438
5923,9,16,2159,1,875
5923,10,32,2159,1,874
5923,11,32,2159,1,873
5923,12,32,2159,1,872
5923,13,32,2159,1,871
5923,14,32,2160,1,871
5923,15,32,3993,1,1
5923,16,32,3994,1,1
5923,17,8,3997,2,1
5923,18,2,4058,32,1
5923,19,8,3999,2,1
5923,20,8,4000,2,1
